,dpdp_id_1,dpdp_id_2,University,AcademicUnit,NameRaw,AcademicRank,HD,HDSchool,HDYear,NoPPubGrad,FirstPPubYearRel,TotalPPub,TotalYearPhD,TotalPPubYearEnd,YearAvgPPubStartGrad,YearAvgPPubEndPhD,TotalWorkingPaper,TotalWorkInProgress,TotalOtherPub,TotalBook,Notes,Rank_HDSchool_2005,Rank_HDSchool_Cand_2005,Rank_HDSchool_Score_2005,Rank_HDSchool_2024,Rank_HDSchool_Cand_2024,Rank_HDSchool_Score_2024,RepecRank,RankSource,NameBertNer,NameSpacyNer,FacNameCleanNER,NerNameBool,title_parsed,first_parsed,middle_parsed,last_parsed,suffix_parsed,nickname_parsed,Gender,GenderBinary,__name,asian,hispanic,nh_black,nh_white,race,RaceBinary
10,11,11,McGill,Economics,Matthieu Chemin,Associate Professor,PhD,London School of Economics,2007.0,0.0,1.0,21.0,6.0,,,,,,,,,14.0,"London School of Economics and Political Science LSE, University of London",90.0,3.0,London School of Economics (LSE),95.0,14.0,closest_use_2005,"['Matthieu Chemin', [{'entity': 'B-PER', 'score': 0.99754864, 'index': 1, 'word': 'Matt', 'start': 0, 'end': 4}, {'entity': 'I-PER', 'score': 0.98606575, 'index': 2, 'word': '##hi', 'start': 4, 'end': 6}, {'entity': 'I-PER', 'score': 0.9821467, 'index': 3, 'word': '##eu', 'start': 6, 'end': 8}, {'entity': 'I-PER', 'score': 0.99924755, 'index': 4, 'word': 'Ch', 'start': 9, 'end': 11}, {'entity': 'I-PER', 'score': 0.9962469, 'index': 5, 'word': '##em', 'start': 11, 'end': 13}, {'entity': 'I-PER', 'score': 0.9976852, 'index': 6, 'word': '##in', 'start': 13, 'end': 15}], 'Matthieu Chemin']","[['Matthieu Chemin', 'PERSON']]",Matthieu Chemin,True,,Matthieu,,Chemin,,,Male,0,Matthieu Chemin,0.021307498,0.012335408,0.58305544,0.38330165,nh_black,0
11,12,12,McGill,Economics,Russell Davidson,Professor & Canada Research Chair Tier 1,PhD,University of Glasgow,1966.0,0.0,2.0,97.0,,2016.0,,,,,,,,,,,162.0,University of Glasgow,100.0,162.0,closest_use_2024,"['Russell Davidson', [{'entity': 'B-PER', 'score': 0.9991904, 'index': 1, 'word': 'Russell', 'start': 0, 'end': 7}, {'entity': 'I-PER', 'score': 0.9991273, 'index': 2, 'word': 'Davidson', 'start': 8, 'end': 16}], 'Russell Davidson']","[['Russell Davidson', 'PERSON']]",Russell Davidson,True,,Russell,,Davidson,,,Male,0,Russell Davidson,0.0045847935,0.014854787,0.72508353,0.25547692,nh_black,0
12,13,13,McGill,Economics,Paul Dickinson,Faculty Lecturer,,,,,,,,,,,,,,,,,,,,,,,,"['Paul Dickinson', [{'entity': 'B-PER', 'score': 0.9990539, 'index': 1, 'word': 'Paul', 'start': 0, 'end': 4}, {'entity': 'I-PER', 'score': 0.99929667, 'index': 2, 'word': 'Dickinson', 'start': 5, 'end': 14}], 'Paul Dickinson']","[['Paul Dickinson', 'PERSON']]",Paul Dickinson,True,,Paul,,Dickinson,,,Male,0,Paul Dickinson,0.00095114805,0.004042329,0.9397294,0.05527707,nh_black,0
13,14,14,McGill,Economics,Jean-Marie Dufour,Professor & William Dow Chair of Political Economy,PhD,University of Chicago,1979.0,,,,,2021.0,,,,,,,,13.0,University of Chicago,100.0,6.0,University of Chicago,100.0,13.0,closest_use_2005,"['Jean-Marie Dufour', [{'entity': 'B-PER', 'score': 0.9967602, 'index': 1, 'word': 'Jean', 'start': 0, 'end': 4}, {'entity': 'I-PER', 'score': 0.8949664, 'index': 2, 'word': '-', 'start': 4, 'end': 5}, {'entity': 'I-PER', 'score': 0.9572552, 'index': 3, 'word': 'Marie', 'start': 5, 'end': 10}, {'entity': 'I-PER', 'score': 0.99931085, 'index': 4, 'word': 'Du', 'start': 11, 'end': 13}, {'entity': 'I-PER', 'score': 0.62364924, 'index': 5, 'word': '##fo', 'start': 13, 'end': 15}, {'entity': 'I-PER', 'score': 0.9891207, 'index': 6, 'word': '##ur', 'start': 15, 'end': 17}], 'Jean-Marie Dufour']","[['Jean-Marie Dufour', 'PERSON']]",Jean-Marie Dufour,True,,Jean-Marie,,Dufour,,,Male,0,Jean-Marie Dufour,0.00068507844,0.00066671154,0.9936754,0.0049727876,nh_black,0
14,15,15,McGill,Economics,Rohan Dutta,Associate Professor,PhD,Washington University,2012.0,1.0,0.0,11.0,5.0,,,,,,,,,65.0,Washington University,100.0,156.0,George Washington University,95.0,65.0,closest_use_2005,"['Rohan Dutta', [{'entity': 'B-PER', 'score': 0.9966085, 'index': 1, 'word': 'R', 'start': 0, 'end': 1}, {'entity': 'I-PER', 'score': 0.75966203, 'index': 2, 'word': '##oh', 'start': 1, 'end': 3}, {'entity': 'I-PER', 'score': 0.59151125, 'index': 3, 'word': '##an', 'start': 3, 'end': 5}, {'entity': 'I-PER', 'score': 0.998998, 'index': 4, 'word': 'Du', 'start': 6, 'end': 8}, {'entity': 'I-PER', 'score': 0.9158454, 'index': 5, 'word': '##tta', 'start': 8, 'end': 11}], 'Rohan Dutta']",[],Rohan Dutta,True,,Rohan,,Dutta,,,Male,0,Rohan Dutta,0.04181364,0.046664644,0.034235116,0.87728655,nh_white,1
15,16,16,McGill,Economics,Mayssun El-Attar,Faculty Lecturer,PhD,European University Institute ,,,,,,,,,,,,,,,,,242.0,European University Institute,100.0,242.0,closest_use_2024,"['Mayssun El-Attar', [{'entity': 'B-PER', 'score': 0.9879276, 'index': 1, 'word': 'May', 'start': 0, 'end': 3}, {'entity': 'I-PER', 'score': 0.7334279, 'index': 2, 'word': '##ss', 'start': 3, 'end': 5}, {'entity': 'I-PER', 'score': 0.74025834, 'index': 3, 'word': '##un', 'start': 5, 'end': 7}, {'entity': 'I-PER', 'score': 0.98453134, 'index': 4, 'word': 'El', 'start': 8, 'end': 10}, {'entity': 'I-PER', 'score': 0.7841272, 'index': 5, 'word': '-', 'start': 10, 'end': 11}, {'entity': 'I-PER', 'score': 0.95188874, 'index': 6, 'word': 'At', 'start': 11, 'end': 13}, {'entity': 'I-PER', 'score': 0.7428395, 'index': 7, 'word': '##tar', 'start': 13, 'end': 16}], 'Mayssun El-Attar']","[['Mayssun El-Attar', 'PERSON']]",Mayssun El-Attar,True,,Mayssun,,El-Attar,,,Female,1,Mayssun El-Attar,0.02774692,0.019285548,0.54336286,0.40960467,nh_black,0
16,17,17,McGill,Economics,Jim Engle-Warnick,Associate Professor,PhD,University of Pittsburgh,,,,,,,,,,,,,,,,,166.0,University of Pittsburgh,100.0,166.0,closest_use_2024,"['Jim Engle-Warnick', [{'entity': 'B-PER', 'score': 0.99919134, 'index': 1, 'word': 'Jim', 'start': 0, 'end': 3}, {'entity': 'I-PER', 'score': 0.99935, 'index': 2, 'word': 'En', 'start': 4, 'end': 6}, {'entity': 'I-PER', 'score': 0.8846253, 'index': 3, 'word': '##gle', 'start': 6, 'end': 9}, {'entity': 'I-PER', 'score': 0.98619866, 'index': 5, 'word': 'War', 'start': 10, 'end': 13}, {'entity': 'I-PER', 'score': 0.744496, 'index': 6, 'word': '##nick', 'start': 13, 'end': 17}], 'Jim Engle-Warnick']","[['Jim Engle-Warnick', 'PERSON']]",Jim Engle-Warnick,True,,Jim,,Engle-Warnick,,,Male,0,Jim Engle-Warnick,0.49234504,0.078922026,0.21027908,0.21845388,asian,0
17,18,18,McGill,Economics,Larry Epstein,Professor,PhD,University of British Columbia,1977.0,2.0,-3.0,79.0,,2021.0,,,,,,,,67.0,University of British Columbia,100.0,49.0,University of British Columbia,100.0,67.0,closest_use_2005,"['Larry Epstein', [{'entity': 'B-PER', 'score': 0.9993407, 'index': 1, 'word': 'Larry', 'start': 0, 'end': 5}, {'entity': 'I-PER', 'score': 0.9994204, 'index': 2, 'word': 'E', 'start': 6, 'end': 7}, {'entity': 'I-PER', 'score': 0.70502764, 'index': 3, 'word': '##ps', 'start': 7, 'end': 9}, {'entity': 'I-PER', 'score': 0.8414399, 'index': 4, 'word': '##tein', 'start': 9, 'end': 13}], 'Larry Epstein']","[['Larry Epstein', 'PERSON']]",Larry Epstein,True,,Larry,,Epstein,,,Male,0,Larry Epstein,0.0035198692,0.034337062,0.85297126,0.109171875,nh_black,0
18,19,19,McGill,Economics,John W Galbraith,Professor,PhD, University of Oxford,1987.0,1.0,0.0,50.0,2.0,2022.0,,,,,,,,63.0,Oxford University,95.0,22.0,Oxford University,95.0,63.0,closest_use_2005,"['John W Galbraith', [{'entity': 'B-PER', 'score': 0.99605775, 'index': 1, 'word': 'John', 'start': 0, 'end': 4}, {'entity': 'I-PER', 'score': 0.95672417, 'index': 2, 'word': 'W', 'start': 5, 'end': 6}, {'entity': 'I-PER', 'score': 0.9988337, 'index': 3, 'word': 'G', 'start': 7, 'end': 8}, {'entity': 'I-PER', 'score': 0.97128, 'index': 4, 'word': '##al', 'start': 8, 'end': 10}, {'entity': 'I-PER', 'score': 0.8320109, 'index': 5, 'word': '##bra', 'start': 10, 'end': 13}, {'entity': 'I-PER', 'score': 0.95951104, 'index': 6, 'word': '##ith', 'start': 13, 'end': 16}], 'John W Galbraith']","[['John W Galbraith', 'PERSON']]",John W Galbraith,True,,John,W,Galbraith,,,Male,0,John Galbraith,0.007770399,0.02373579,0.45878282,0.5097109,nh_white,1
19,20,20,McGill,Economics,Nicolas Gendron-Carrier,Assistant Professor,PhD,University of Toronto,,,,,,,,,,,,,,52.0,University of Toronto,100.0,58.0,University of Toronto,100.0,55.0,both,"['Nicolas Gendron-Carrier', [{'entity': 'B-PER', 'score': 0.9992741, 'index': 1, 'word': 'Nicolas', 'start': 0, 'end': 7}, {'entity': 'I-PER', 'score': 0.9994567, 'index': 2, 'word': 'Gen', 'start': 8, 'end': 11}, {'entity': 'I-PER', 'score': 0.9905634, 'index': 3, 'word': '##dron', 'start': 11, 'end': 15}, {'entity': 'I-PER', 'score': 0.764893, 'index': 4, 'word': '-', 'start': 15, 'end': 16}, {'entity': 'I-PER', 'score': 0.9986162, 'index': 5, 'word': 'Carrier', 'start': 16, 'end': 23}], 'Nicolas Gendron-Carrier']","[['Nicolas Gendron-Carrier', 'PERSON']]",Nicolas Gendron-Carrier,True,,Nicolas,,Gendron-Carrier,,,Male,0,Nicolas Gendron-Carrier,0.004016548,0.15982153,0.6311449,0.20501706,nh_black,0
20,21,21,McGill,Economics,Silvia Goncalves,Professor,PhD,University of California,2000.0,0.0,2.0,34.0,,2024.0,,,,,,,,10.0,University of California,100.0,8.0,University of California-Berkeley,95.0,10.0,closest_use_2005,"['Silvia Goncalves', [{'entity': 'B-PER', 'score': 0.99526525, 'index': 1, 'word': 'Si', 'start': 0, 'end': 2}, {'entity': 'I-PER', 'score': 0.43924674, 'index': 2, 'word': '##l', 'start': 2, 'end': 3}, {'entity': 'I-PER', 'score': 0.61074674, 'index': 3, 'word': '##via', 'start': 3, 'end': 6}, {'entity': 'I-PER', 'score': 0.99839264, 'index': 4, 'word': 'Go', 'start': 7, 'end': 9}, {'entity': 'I-PER', 'score': 0.9657377, 'index': 5, 'word': '##nc', 'start': 9, 'end': 11}, {'entity': 'I-PER', 'score': 0.7971112, 'index': 6, 'word': '##al', 'start': 11, 'end': 13}, {'entity': 'I-PER', 'score': 0.94357944, 'index': 7, 'word': '##ves', 'start': 13, 'end': 16}], 'Silvia Goncalves']","[['Silvia Goncalves', 'PERSON']]",Silvia Goncalves,True,,Silvia,,Goncalves,,,Female,1,Silvia Goncalves,0.026716389,0.89274085,0.022801448,0.057741337,hispanic,0
21,22,22,McGill,Economics,Franque Grimard,Associate Professor,PhD,Princeton University,1995.0,0.0,1.0,21.0,,,,,,,,,,3.0,Princeton University,100.0,10.0,Princeton University,100.0,3.0,closest_use_2005,"['Franque Grimard', [{'entity': 'B-PER', 'score': 0.9959429, 'index': 1, 'word': 'Fr', 'start': 0, 'end': 2}, {'entity': 'I-PER', 'score': 0.6288215, 'index': 2, 'word': '##an', 'start': 2, 'end': 4}, {'entity': 'I-PER', 'score': 0.7797008, 'index': 3, 'word': '##que', 'start': 4, 'end': 7}, {'entity': 'I-PER', 'score': 0.9994288, 'index': 4, 'word': 'G', 'start': 8, 'end': 9}, {'entity': 'I-PER', 'score': 0.9917846, 'index': 5, 'word': '##rima', 'start': 9, 'end': 13}, {'entity': 'I-PER', 'score': 0.99280655, 'index': 6, 'word': '##rd', 'start': 13, 'end': 15}], 'Franque Grimard']","[['Franque Grimard', 'PERSON']]",Franque Grimard,True,,Franque,,Grimard,,,Male,0,Franque Grimard,0.01827459,0.045023907,0.09489379,0.8418077,nh_white,1
22,23,23,McGill,Economics,Fabian Lange,Professor & Canada Research Chair Tier 2,PhD,University of Chicago,2004.0,1.0,-1.0,17.0,,2019.0,,,,,,,,13.0,University of Chicago,100.0,6.0,University of Chicago,100.0,13.0,closest_use_2005,"['Fabian Lange', [{'entity': 'B-PER', 'score': 0.99929214, 'index': 1, 'word': 'Fabian', 'start': 0, 'end': 6}, {'entity': 'I-PER', 'score': 0.9993174, 'index': 2, 'word': 'Lange', 'start': 7, 'end': 12}], 'Fabian Lange']",[],Fabian Lange,True,,Fabian,,Lange,,,Male,0,Fabian Lange,0.12412071,0.047955576,0.18017863,0.6477451,nh_white,1
23,24,24,McGill,Economics,Sonia Laszlo,Associate Professor,PhD,University of Toronto,,,,19.0,,,,,,,,,,52.0,University of Toronto,100.0,58.0,University of Toronto,100.0,55.0,both,"['Sonia Laszlo', [{'entity': 'B-PER', 'score': 0.99792373, 'index': 1, 'word': 'Sonia', 'start': 0, 'end': 5}, {'entity': 'I-PER', 'score': 0.9991479, 'index': 2, 'word': 'Las', 'start': 6, 'end': 9}, {'entity': 'I-PER', 'score': 0.9717557, 'index': 3, 'word': '##z', 'start': 9, 'end': 10}, {'entity': 'I-PER', 'score': 0.95978737, 'index': 4, 'word': '##lo', 'start': 10, 'end': 12}], 'Sonia Laszlo']","[['Sonia Laszlo', 'PERSON']]",Sonia Laszlo,True,,Sonia,,Laszlo,,,Female,1,Sonia Laszlo,0.02469251,0.20874685,0.017432256,0.7491284,nh_white,1
24,25,25,McGill,Economics,Markus Poschke,Professor & William Dawson Scholar,PhD,European University Institute (EUI) Florence,2007.0,0.0,2.0,11.0,4.0,2016.0,,,,,,,,,,,242.0,European University Institute,90.0,242.0,closest_use_2024,"['Markus Poschke', [{'entity': 'B-PER', 'score': 0.99926883, 'index': 1, 'word': 'Markus', 'start': 0, 'end': 6}, {'entity': 'I-PER', 'score': 0.99938345, 'index': 2, 'word': 'Po', 'start': 7, 'end': 9}, {'entity': 'I-PER', 'score': 0.9877253, 'index': 3, 'word': '##sch', 'start': 9, 'end': 12}, {'entity': 'I-PER', 'score': 0.951976, 'index': 4, 'word': '##ke', 'start': 12, 'end': 14}], 'Markus Poschke']","[['Markus Poschke', 'PERSON']]",Markus Poschke,True,,Markus,,Poschke,,,Male,0,Markus Poschke,0.0488559,0.026993029,0.29209504,0.63205606,nh_white,1
25,26,26,McGill,Economics,Francisco Ruge-Murcia,Professor & Chair,PhD,University of Virginia,1993.0,0.0,2.0,42.0,2.0,,,,,,,,,,,,103.0,University of Virginia,100.0,103.0,closest_use_2024,"['Francisco Ruge-Murcia', [{'entity': 'B-PER', 'score': 0.9993197, 'index': 1, 'word': 'Francisco', 'start': 0, 'end': 9}, {'entity': 'I-PER', 'score': 0.9992236, 'index': 2, 'word': 'R', 'start': 10, 'end': 11}, {'entity': 'I-PER', 'score': 0.9968664, 'index': 3, 'word': '##uge', 'start': 11, 'end': 14}], 'Francisco Ruge-Murcia']",[],Francisco Ruge-Murcia,True,,Francisco,,Ruge-Murcia,,,Male,0,Francisco Ruge-Murcia,0.03389,0.64503336,0.12636828,0.19470839,hispanic,0
26,27,27,McGill,Economics,Fernando Saltiel,Assistant Professor,PhD,University of Maryland,2019.0,2.0,-4.0,8.0,,,,,,,,,,55.0,University of Maryland,100.0,72.0,University of Maryland,100.0,72.0,closest_use_2024,"['Fernando Saltiel', [{'entity': 'B-PER', 'score': 0.9984232, 'index': 1, 'word': 'Fernando', 'start': 0, 'end': 8}, {'entity': 'I-PER', 'score': 0.998669, 'index': 2, 'word': 'Salt', 'start': 9, 'end': 13}, {'entity': 'I-PER', 'score': 0.97886115, 'index': 3, 'word': '##iel', 'start': 13, 'end': 16}], 'Fernando Saltiel']","[['Fernando Saltiel', 'PERSON']]",Fernando Saltiel,True,,Fernando,,Saltiel,,,Male,0,Fernando Saltiel,0.013894928,0.1938623,0.015309994,0.7769327,nh_white,1
