dpdp_id_1,dpdp_id_2,University,AcademicUnit,NameRaw,AcademicRank,HD,HDSchool,HDYear,NoPPubGrad,FirstPPubYearRel,TotalPPub,TotalYearPhD,TotalPPubYearEnd,YearAvgPPubStartGrad,YearAvgPPubEndPhD,TotalWorkingPaper,TotalWorkInProgress,TotalOtherPub,TotalBook,Notes,Rank_HDSchool_2005,Rank_HDSchool_Cand_2005,Rank_HDSchool_Score_2005,Rank_HDSchool_2024,Rank_HDSchool_Cand_2024,Rank_HDSchool_Score_2024,RepecRank,RankSource,NameBertNer,NameSpacyNer,FacNameCleanNER,NerNameBool,title_parsed,first_parsed,middle_parsed,last_parsed,suffix_parsed,nickname_parsed
11,11,McGill,Economics,Matthieu Chemin,Associate Professor,PhD,London School of Economics,2007,0,1,21,6,,,,,,,,,14,"London School of Economics and Political Science LSE, University of London",90,3,London School of Economics (LSE),95,14,closest_use_2005,"['Matthieu Chemin', [{'entity': 'B-PER', 'score': 0.99754864, 'index': 1, 'word': 'Matt', 'start': 0, 'end': 4}, {'entity': 'I-PER', 'score': 0.98606575, 'index': 2, 'word': '##hi', 'start': 4, 'end': 6}, {'entity': 'I-PER', 'score': 0.9821467, 'index': 3, 'word': '##eu', 'start': 6, 'end': 8}, {'entity': 'I-PER', 'score': 0.99924755, 'index': 4, 'word': 'Ch', 'start': 9, 'end': 11}, {'entity': 'I-PER', 'score': 0.9962469, 'index': 5, 'word': '##em', 'start': 11, 'end': 13}, {'entity': 'I-PER', 'score': 0.9976852, 'index': 6, 'word': '##in', 'start': 13, 'end': 15}], 'Matthieu Chemin']","[['Matthieu Chemin', 'PERSON']]",Matthieu Chemin,TRUE,,Matthieu,,Chemin,,
12,12,McGill,Economics,Russell Davidson,Professor & Canada Research Chair Tier 1,PhD,University of Glasgow,1966,0,2,97,,2016,,,,,,,,,,,162,University of Glasgow,100,162,closest_use_2024,"['Russell Davidson', [{'entity': 'B-PER', 'score': 0.9991904, 'index': 1, 'word': 'Russell', 'start': 0, 'end': 7}, {'entity': 'I-PER', 'score': 0.9991273, 'index': 2, 'word': 'Davidson', 'start': 8, 'end': 16}], 'Russell Davidson']","[['Russell Davidson', 'PERSON']]",Russell Davidson,TRUE,,Russell,,Davidson,,
13,13,McGill,Economics,Paul Dickinson,Faculty Lecturer,,,,,,,,,,,,,,,,,,,,,,,,"['Paul Dickinson', [{'entity': 'B-PER', 'score': 0.9990539, 'index': 1, 'word': 'Paul', 'start': 0, 'end': 4}, {'entity': 'I-PER', 'score': 0.99929667, 'index': 2, 'word': 'Dickinson', 'start': 5, 'end': 14}], 'Paul Dickinson']","[['Paul Dickinson', 'PERSON']]",Paul Dickinson,TRUE,,Paul,,Dickinson,,
14,14,McGill,Economics,Jean-Marie Dufour,Professor & William Dow Chair of Political Economy,PhD,University of Chicago,1979,,,,,2021,,,,,,,,13,University of Chicago,100,6,University of Chicago,100,13,closest_use_2005,"['Jean-Marie Dufour', [{'entity': 'B-PER', 'score': 0.9967602, 'index': 1, 'word': 'Jean', 'start': 0, 'end': 4}, {'entity': 'I-PER', 'score': 0.8949664, 'index': 2, 'word': '-', 'start': 4, 'end': 5}, {'entity': 'I-PER', 'score': 0.9572552, 'index': 3, 'word': 'Marie', 'start': 5, 'end': 10}, {'entity': 'I-PER', 'score': 0.99931085, 'index': 4, 'word': 'Du', 'start': 11, 'end': 13}, {'entity': 'I-PER', 'score': 0.62364924, 'index': 5, 'word': '##fo', 'start': 13, 'end': 15}, {'entity': 'I-PER', 'score': 0.9891207, 'index': 6, 'word': '##ur', 'start': 15, 'end': 17}], 'Jean-Marie Dufour']","[['Jean-Marie Dufour', 'PERSON']]",Jean-Marie Dufour,TRUE,,Jean-Marie,,Dufour,,
15,15,McGill,Economics,Rohan Dutta,Associate Professor,PhD,Washington University,2012,1,0,11,5,,,,,,,,,65,Washington University,100,156,George Washington University,95,65,closest_use_2005,"['Rohan Dutta', [{'entity': 'B-PER', 'score': 0.9966085, 'index': 1, 'word': 'R', 'start': 0, 'end': 1}, {'entity': 'I-PER', 'score': 0.75966203, 'index': 2, 'word': '##oh', 'start': 1, 'end': 3}, {'entity': 'I-PER', 'score': 0.59151125, 'index': 3, 'word': '##an', 'start': 3, 'end': 5}, {'entity': 'I-PER', 'score': 0.998998, 'index': 4, 'word': 'Du', 'start': 6, 'end': 8}, {'entity': 'I-PER', 'score': 0.9158454, 'index': 5, 'word': '##tta', 'start': 8, 'end': 11}], 'Rohan Dutta']",[],Rohan Dutta,TRUE,,Rohan,,Dutta,,
16,16,McGill,Economics,Mayssun El-Attar,Faculty Lecturer,PhD,European University Institute ,,,,,,,,,,,,,,,,,242,European University Institute,100,242,closest_use_2024,"['Mayssun El-Attar', [{'entity': 'B-PER', 'score': 0.9879276, 'index': 1, 'word': 'May', 'start': 0, 'end': 3}, {'entity': 'I-PER', 'score': 0.7334279, 'index': 2, 'word': '##ss', 'start': 3, 'end': 5}, {'entity': 'I-PER', 'score': 0.74025834, 'index': 3, 'word': '##un', 'start': 5, 'end': 7}, {'entity': 'I-PER', 'score': 0.98453134, 'index': 4, 'word': 'El', 'start': 8, 'end': 10}, {'entity': 'I-PER', 'score': 0.7841272, 'index': 5, 'word': '-', 'start': 10, 'end': 11}, {'entity': 'I-PER', 'score': 0.95188874, 'index': 6, 'word': 'At', 'start': 11, 'end': 13}, {'entity': 'I-PER', 'score': 0.7428395, 'index': 7, 'word': '##tar', 'start': 13, 'end': 16}], 'Mayssun El-Attar']","[['Mayssun El-Attar', 'PERSON']]",Mayssun El-Attar,TRUE,,Mayssun,,El-Attar,,
17,17,McGill,Economics,Jim Engle-Warnick,Associate Professor,PhD,University of Pittsburgh,,,,,,,,,,,,,,,,,166,University of Pittsburgh,100,166,closest_use_2024,"['Jim Engle-Warnick', [{'entity': 'B-PER', 'score': 0.99919134, 'index': 1, 'word': 'Jim', 'start': 0, 'end': 3}, {'entity': 'I-PER', 'score': 0.99935, 'index': 2, 'word': 'En', 'start': 4, 'end': 6}, {'entity': 'I-PER', 'score': 0.8846253, 'index': 3, 'word': '##gle', 'start': 6, 'end': 9}, {'entity': 'I-PER', 'score': 0.98619866, 'index': 5, 'word': 'War', 'start': 10, 'end': 13}, {'entity': 'I-PER', 'score': 0.744496, 'index': 6, 'word': '##nick', 'start': 13, 'end': 17}], 'Jim Engle-Warnick']","[['Jim Engle-Warnick', 'PERSON']]",Jim Engle-Warnick,TRUE,,Jim,,Engle-Warnick,,
18,18,McGill,Economics,Larry Epstein,Professor,PhD,University of British Columbia,1977,2,-3,79,,2021,,,,,,,,67,University of British Columbia,100,49,University of British Columbia,100,67,closest_use_2005,"['Larry Epstein', [{'entity': 'B-PER', 'score': 0.9993407, 'index': 1, 'word': 'Larry', 'start': 0, 'end': 5}, {'entity': 'I-PER', 'score': 0.9994204, 'index': 2, 'word': 'E', 'start': 6, 'end': 7}, {'entity': 'I-PER', 'score': 0.70502764, 'index': 3, 'word': '##ps', 'start': 7, 'end': 9}, {'entity': 'I-PER', 'score': 0.8414399, 'index': 4, 'word': '##tein', 'start': 9, 'end': 13}], 'Larry Epstein']","[['Larry Epstein', 'PERSON']]",Larry Epstein,TRUE,,Larry,,Epstein,,
19,19,McGill,Economics,John W Galbraith,Professor,PhD, University of Oxford,1987,1,0,50,2,2022,,,,,,,,63,Oxford University,95,22,Oxford University,95,63,closest_use_2005,"['John W Galbraith', [{'entity': 'B-PER', 'score': 0.99605775, 'index': 1, 'word': 'John', 'start': 0, 'end': 4}, {'entity': 'I-PER', 'score': 0.95672417, 'index': 2, 'word': 'W', 'start': 5, 'end': 6}, {'entity': 'I-PER', 'score': 0.9988337, 'index': 3, 'word': 'G', 'start': 7, 'end': 8}, {'entity': 'I-PER', 'score': 0.97128, 'index': 4, 'word': '##al', 'start': 8, 'end': 10}, {'entity': 'I-PER', 'score': 0.8320109, 'index': 5, 'word': '##bra', 'start': 10, 'end': 13}, {'entity': 'I-PER', 'score': 0.95951104, 'index': 6, 'word': '##ith', 'start': 13, 'end': 16}], 'John W Galbraith']","[['John W Galbraith', 'PERSON']]",John W Galbraith,TRUE,,John,W,Galbraith,,
20,20,McGill,Economics,Nicolas Gendron-Carrier,Assistant Professor,PhD,University of Toronto,,,,,,,,,,,,,,52,University of Toronto,100,58,University of Toronto,100,55,both,"['Nicolas Gendron-Carrier', [{'entity': 'B-PER', 'score': 0.9992741, 'index': 1, 'word': 'Nicolas', 'start': 0, 'end': 7}, {'entity': 'I-PER', 'score': 0.9994567, 'index': 2, 'word': 'Gen', 'start': 8, 'end': 11}, {'entity': 'I-PER', 'score': 0.9905634, 'index': 3, 'word': '##dron', 'start': 11, 'end': 15}, {'entity': 'I-PER', 'score': 0.764893, 'index': 4, 'word': '-', 'start': 15, 'end': 16}, {'entity': 'I-PER', 'score': 0.9986162, 'index': 5, 'word': 'Carrier', 'start': 16, 'end': 23}], 'Nicolas Gendron-Carrier']","[['Nicolas Gendron-Carrier', 'PERSON']]",Nicolas Gendron-Carrier,TRUE,,Nicolas,,Gendron-Carrier,,
21,21,McGill,Economics,Silvia Goncalves,Professor,PhD,University of California,2000,0,2,34,,2024,,,,,,,,10,University of California,100,8,University of California-Berkeley,95,10,closest_use_2005,"['Silvia Goncalves', [{'entity': 'B-PER', 'score': 0.99526525, 'index': 1, 'word': 'Si', 'start': 0, 'end': 2}, {'entity': 'I-PER', 'score': 0.43924674, 'index': 2, 'word': '##l', 'start': 2, 'end': 3}, {'entity': 'I-PER', 'score': 0.61074674, 'index': 3, 'word': '##via', 'start': 3, 'end': 6}, {'entity': 'I-PER', 'score': 0.99839264, 'index': 4, 'word': 'Go', 'start': 7, 'end': 9}, {'entity': 'I-PER', 'score': 0.9657377, 'index': 5, 'word': '##nc', 'start': 9, 'end': 11}, {'entity': 'I-PER', 'score': 0.7971112, 'index': 6, 'word': '##al', 'start': 11, 'end': 13}, {'entity': 'I-PER', 'score': 0.94357944, 'index': 7, 'word': '##ves', 'start': 13, 'end': 16}], 'Silvia Goncalves']","[['Silvia Goncalves', 'PERSON']]",Silvia Goncalves,TRUE,,Silvia,,Goncalves,,
22,22,McGill,Economics,Franque Grimard,Associate Professor,PhD,Princeton University,1995,0,1,21,,,,,,,,,,3,Princeton University,100,10,Princeton University,100,3,closest_use_2005,"['Franque Grimard', [{'entity': 'B-PER', 'score': 0.9959429, 'index': 1, 'word': 'Fr', 'start': 0, 'end': 2}, {'entity': 'I-PER', 'score': 0.6288215, 'index': 2, 'word': '##an', 'start': 2, 'end': 4}, {'entity': 'I-PER', 'score': 0.7797008, 'index': 3, 'word': '##que', 'start': 4, 'end': 7}, {'entity': 'I-PER', 'score': 0.9994288, 'index': 4, 'word': 'G', 'start': 8, 'end': 9}, {'entity': 'I-PER', 'score': 0.9917846, 'index': 5, 'word': '##rima', 'start': 9, 'end': 13}, {'entity': 'I-PER', 'score': 0.99280655, 'index': 6, 'word': '##rd', 'start': 13, 'end': 15}], 'Franque Grimard']","[['Franque Grimard', 'PERSON']]",Franque Grimard,TRUE,,Franque,,Grimard,,
23,23,McGill,Economics,Fabian Lange,Professor & Canada Research Chair Tier 2,PhD,University of Chicago,2004,1,-1,17,,2019,,,,,,,,13,University of Chicago,100,6,University of Chicago,100,13,closest_use_2005,"['Fabian Lange', [{'entity': 'B-PER', 'score': 0.99929214, 'index': 1, 'word': 'Fabian', 'start': 0, 'end': 6}, {'entity': 'I-PER', 'score': 0.9993174, 'index': 2, 'word': 'Lange', 'start': 7, 'end': 12}], 'Fabian Lange']",[],Fabian Lange,TRUE,,Fabian,,Lange,,
24,24,McGill,Economics,Sonia Laszlo,Associate Professor,PhD,University of Toronto,,,,19,,,,,,,,,,52,University of Toronto,100,58,University of Toronto,100,55,both,"['Sonia Laszlo', [{'entity': 'B-PER', 'score': 0.99792373, 'index': 1, 'word': 'Sonia', 'start': 0, 'end': 5}, {'entity': 'I-PER', 'score': 0.9991479, 'index': 2, 'word': 'Las', 'start': 6, 'end': 9}, {'entity': 'I-PER', 'score': 0.9717557, 'index': 3, 'word': '##z', 'start': 9, 'end': 10}, {'entity': 'I-PER', 'score': 0.95978737, 'index': 4, 'word': '##lo', 'start': 10, 'end': 12}], 'Sonia Laszlo']","[['Sonia Laszlo', 'PERSON']]",Sonia Laszlo,TRUE,,Sonia,,Laszlo,,
25,25,McGill,Economics,Markus Poschke,Professor & William Dawson Scholar,PhD,European University Institute (EUI) Florence,2007,0,2,11,4,2016,,,,,,,,,,,242,European University Institute,90,242,closest_use_2024,"['Markus Poschke', [{'entity': 'B-PER', 'score': 0.99926883, 'index': 1, 'word': 'Markus', 'start': 0, 'end': 6}, {'entity': 'I-PER', 'score': 0.99938345, 'index': 2, 'word': 'Po', 'start': 7, 'end': 9}, {'entity': 'I-PER', 'score': 0.9877253, 'index': 3, 'word': '##sch', 'start': 9, 'end': 12}, {'entity': 'I-PER', 'score': 0.951976, 'index': 4, 'word': '##ke', 'start': 12, 'end': 14}], 'Markus Poschke']","[['Markus Poschke', 'PERSON']]",Markus Poschke,TRUE,,Markus,,Poschke,,
26,26,McGill,Economics,Francisco Ruge-Murcia,Professor & Chair,PhD,University of Virginia,1993,0,2,42,2,,,,,,,,,,,,103,University of Virginia,100,103,closest_use_2024,"['Francisco Ruge-Murcia', [{'entity': 'B-PER', 'score': 0.9993197, 'index': 1, 'word': 'Francisco', 'start': 0, 'end': 9}, {'entity': 'I-PER', 'score': 0.9992236, 'index': 2, 'word': 'R', 'start': 10, 'end': 11}, {'entity': 'I-PER', 'score': 0.9968664, 'index': 3, 'word': '##uge', 'start': 11, 'end': 14}], 'Francisco Ruge-Murcia']",[],Francisco Ruge-Murcia,TRUE,,Francisco,,Ruge-Murcia,,
27,27,McGill,Economics,Fernando Saltiel,Assistant Professor,PhD,University of Maryland,2019,2,-4,8,,,,,,,,,,55,University of Maryland,100,72,University of Maryland,100,72,closest_use_2024,"['Fernando Saltiel', [{'entity': 'B-PER', 'score': 0.9984232, 'index': 1, 'word': 'Fernando', 'start': 0, 'end': 8}, {'entity': 'I-PER', 'score': 0.998669, 'index': 2, 'word': 'Salt', 'start': 9, 'end': 13}, {'entity': 'I-PER', 'score': 0.97886115, 'index': 3, 'word': '##iel', 'start': 13, 'end': 16}], 'Fernando Saltiel']","[['Fernando Saltiel', 'PERSON']]",Fernando Saltiel,TRUE,,Fernando,,Saltiel,,
28,28,McGill,Economics,Erin Strumpf,Professor & William Dawson Scholar,PhD,Harvard University,2007,,,,5,,,,,,,,,7,Harvard University,100,2,Harvard University,100,7,closest_use_2005,"['Erin Strumpf', [{'entity': 'B-PER', 'score': 0.9991289, 'index': 1, 'word': 'Erin', 'start': 0, 'end': 4}, {'entity': 'I-PER', 'score': 0.9994628, 'index': 2, 'word': 'St', 'start': 5, 'end': 7}, {'entity': 'I-PER', 'score': 0.90785635, 'index': 3, 'word': '##rump', 'start': 7, 'end': 11}, {'entity': 'I-PER', 'score': 0.74355805, 'index': 4, 'word': '##f', 'start': 11, 'end': 12}], 'Erin Strumpf']","[['Erin Strumpf', 'PERSON']]",Erin Strumpf,TRUE,,Erin,,Strumpf,,
29,29,McGill,Economics,Licun Xue,Associate Professor,PhD,McGill University,1996,0,1,23,,,,,,,,,,,,,160,McGill University,100,160,closest_use_2024,"['Licun Xue', [{'entity': 'B-PER', 'score': 0.7232388, 'index': 1, 'word': 'Li', 'start': 0, 'end': 2}, {'entity': 'I-PER', 'score': 0.755215, 'index': 4, 'word': 'Xu', 'start': 6, 'end': 8}], 'Licun Xue']","[['Licun Xue', 'PERSON']]",Licun Xue,TRUE,,Licun,,Xue,,
30,30,McGill,Economics,Ling Ling Zhang,Faculty Lecturer,PhD,McGill University,2008,1,0,7,6,,,,,,,,,,,,160,McGill University,100,160,closest_use_2024,"['Ling Ling Zhang', [{'entity': 'B-PER', 'score': 0.8245231, 'index': 1, 'word': 'Ling', 'start': 0, 'end': 4}, {'entity': 'I-PER', 'score': 0.45967448, 'index': 2, 'word': 'Ling', 'start': 5, 'end': 9}, {'entity': 'I-PER', 'score': 0.38805684, 'index': 3, 'word': 'Zhang', 'start': 10, 'end': 15}], 'Ling Ling Zhang']","[['Ling Ling Zhang', 'PERSON']]",Ling Ling Zhang,TRUE,,Ling,Ling,Zhang,,
31,31,McGill,Economics,Victoria Zinde-Walsh,Emeritus Full Professor (Post-Retirement),PhD,Moscow State University,1982,8,-12,43,,,,,,,,,,,,,,,,,,"['Victoria Zinde-Walsh', [{'entity': 'B-PER', 'score': 0.9988273, 'index': 1, 'word': 'Victoria', 'start': 0, 'end': 8}, {'entity': 'I-PER', 'score': 0.9991529, 'index': 2, 'word': 'Z', 'start': 9, 'end': 10}, {'entity': 'I-PER', 'score': 0.99278533, 'index': 3, 'word': '##ind', 'start': 10, 'end': 13}, {'entity': 'I-PER', 'score': 0.9517884, 'index': 4, 'word': '##e', 'start': 13, 'end': 14}, {'entity': 'I-PER', 'score': 0.6961745, 'index': 5, 'word': '-', 'start': 14, 'end': 15}, {'entity': 'I-PER', 'score': 0.9949587, 'index': 6, 'word': 'Walsh', 'start': 15, 'end': 20}], 'Victoria Zinde-Walsh']","[['Victoria Zinde-Walsh', 'PERSON']]",Victoria Zinde-Walsh,TRUE,,Victoria,,Zinde-Walsh,,
33,33,Simon Fraser University,Economics,Victor Aguiar,Associate Professor,PhD,Brown University,2017,1,0,10,5,2022,,,,,,,,33,Brown University,100,27,Brown University,100,27,closest_use_2024,"['Victor Aguiar', [{'entity': 'B-PER', 'score': 0.9989292, 'index': 1, 'word': 'Victor', 'start': 0, 'end': 6}, {'entity': 'I-PER', 'score': 0.99919707, 'index': 2, 'word': 'A', 'start': 7, 'end': 8}, {'entity': 'I-PER', 'score': 0.9934337, 'index': 3, 'word': '##gu', 'start': 8, 'end': 10}, {'entity': 'I-PER', 'score': 0.98791426, 'index': 4, 'word': '##iar', 'start': 10, 'end': 13}], 'Victor Aguiar']",[],Victor Aguiar,TRUE,,Victor,,Aguiar,,
34,34,Simon Fraser University,Economics,Douglas Allen,Professor,PhD,University of Washington,1988,1,-3,68,4,2024,,,2,2,16,7,"The Institutional Revolution: Measurement & The Economic Emergence of the Modern World (Chicago: The University of Chicago Press, 2012)",82,University of Washington,100,157,University of Washington,100,82,closest_use_2005,"['Douglas Allen', [{'entity': 'B-PER', 'score': 0.9990307, 'index': 1, 'word': 'Douglas', 'start': 0, 'end': 7}, {'entity': 'I-PER', 'score': 0.99796426, 'index': 2, 'word': 'Allen', 'start': 8, 'end': 13}], 'Douglas Allen']","[['Douglas Allen', 'PERSON']]",Douglas Allen,TRUE,,Douglas,,Allen,,
