Rank,AcademicUnit,University,,
122,Department of Economics, University of Birmingham,,
123,Argyros School of Business and Economics, Chapman University,,
124,School of Economics and Political Science, Universität St. Gallen,,
125,Department of Economics, National University of Singapore (NUS),,
126,Department of Economics, McMaster University,,
127,School of Business and Economics, Universidade Nova de Lisboa,,
128,Department of Economics, London Business School (LBS),,
129,Department of Economics, University of Connecticut,,
130,John E. Walker Department of Economics, College of Business and Behavioral Science, Clemson University,
131,Department of Economics, International Business School, Brandeis University,
132,Carol Martin Gatton College of Business and Economics, University of Kentucky,,
133,Department of Economics, University of Calgary,,
134,Dipartimento di Economia, Università Ca' Foscari Venezia,,
135,Graduate School of Economics and Management, Université Paris-Saclay,,
136,Facultad de Economía, Universidad de los Andes (Colombia),,
137,Departamento de Economía, Facultad de Economía y Negocios, Universidad de Chile,
138,"Dipartimento di Scienze Economiche e Aziendali ""Marco Fanno""", Università degli Studi di Padova,,
139,School of Economics, University of Bristol,,
140,Economics Department, University of Rochester,,
141,Dipartimento di Economia, Management e Metodi Quantitativi (DEMM), Università degli Studi di Milano,
142,Department of Economics, Sussex Business School, University of Sussex,
143,School of Economics, University of Surrey,,
144,"Dipartimento di Economia e Statistica ""Cognetti de Martiis""", Università degli Studi di Torino,,
145,Department of Economics, Maxwell School, Syracuse University,
146,Bordeaux Sciences Économiques (BSE), Université de Bordeaux,,
147,Fachbereich Wirtschaftswissenschaften, Universität Konstanz,,
148,Strategy and Business Economics Division, Sauder School of Business, University of British Columbia,
149,Division of Economics, Seoul National University,,
150,Nationalekonomiska institutionen, Stockholms Universitet,,
151,Department of Economics, Korea University,,
152,Department of Economics, Faculty of Business and Economics, University of Melbourne,
153,Institutionen för Nationalekonomi med Statistik, Handelshögskolan, Göteborgs Universitet,
154,Institut für Volkswirtschaftslehre, Johannes-Kepler-Universität Linz,,
155,Economics Department, University of Missouri,,
156,Department of Economics, Carleton University,,
157,Départment Économie et Sciences de la Décision, HEC Paris (École des Hautes Études Commerciales),,
158,Department of Economics, Business School, Deakin University,
159,Department of Economics, Trinity College Dublin,,
160,Départment d'économétrie et d'économie politique (DEEP), Faculté des Hautes Études Commerciales (HEC), Université de Lausanne,
161,Facultad de Economía y Empresa, Universidad de Zaragoza,,
162,Arndt-Corden Department of Economics, Crawford School of Public Policy, Australian National University,
163,Department of Economics, Terry College of Business, University of Georgia,
164,Facultad de Economía, Universidad de València,,
165,Department of Economics, University of Houston,,
166,Scuola di Economia e Statistica, Università degli Studi di Milano-Bicocca,,
167,Escola de Economia de São Paulo (EESP), Fundação Getúlio Vargas (FGV),,
168,Wirtschaftswissenschaftliches Zentrum, Universität Basel,,
169,Département d'Économie, Université d'Ottawa,,
170,"Facoltà di Economia ""Giorgio Fuà""", Università Politecnica delle Marche,,
171,Department of Economics, European University Institute,,
172,School of Economics, Singapore Management University,,
173,Institut für Volkswirtschaftslehre, Fakultät für Wirtschaftswissenschaften, Universität Wien,
174,Department of Economics, Royal Holloway,,
175,Economics Department, University of Strathclyde,,
176,School of Economics, University of Kent,,
177,Wirtschaftswissenschaftliche Fakultät, Humboldt-Universität Berlin,,
178,Department of Economics, Rice University,,
179,Department of Economics, York University,,
180,Geneva School of Economics and Management, Université de Genève,,
181,Department of Economics, Tulane University,,
182,Facultad de Ciencias Económicas y Empresariales, Universidad Complutense de Madrid,,
183,Scuola di Economia e Management, Università degli Studi di Firenze,,
184,Department of Economics, Waikato Management School, University of Waikato,
185,Economics Discipline Group, Business School, University of Technology Sydney,
186,Facultad de Economía y Empresa, Universidad del País Vasco - Euskal Herriko Unibertsitatea,,
187,Department of Economics, College of Business, University of Wyoming,
188,Faculty of Economics, Keio University,,
189,Department of Economics, University of North Carolina-Chapel-Hill,,
190,EPGE Escola Brasileira de Economia e Finanças, Fundação Getúlio Vargas (FGV),,
191,Department of Economics, Miami Herbert Business School, University of Miami,
192,Department of Economics, Wellesley College,,
193,Wirtschaftswissenschaftliche Fakultät, Heinriche-Heine-Universität Düsseldorf,,
194,School of Economics, Universiteit Utrecht,,
195,Fakultät für Wirtschafts- und Sozialwissenschaften, Ruprecht-Karls-Universität Heidelberg,,
196,Department of Economics, Lerner College of Business and Economics, University of Delaware,
197,Department of Economics, University of Alberta,,
198,Facultad de Ciencia Económicas y Administrativas, Pontificia Universidad Católica de Chile,,
199,Gordon Lang School of Business and Economics, University of Guelph,,
200,Department of Economics, Southern Methodist University,,
201,Département de Sciences Économiques, Université de Montréal,,
202,Department of Economics, Management School, Lancaster University,
203,Department of Economics, Florida State University,,
204,Department of Economics, Tepper School of Business Administration, Carnegie Mellon University,
205,Department of Economics, University of Sheffield,,
206,Szkoła Główna Handlowa w Warszawie,,,
207,Department of Economics, University of Illinois at Chicago,,
208,Department Volkswirtschaft, WU Wirtschaftsuniversität Wien,,
209,Department of Economics, University of California-Riverside,,
210,Faculté de droit, d'économie et de gestion, Université d'Orléans,
211,Institut für Volkswirtschaftslehre, Christian-Albrechts-Universität Kiel,,
212,Dipartimento di Economia e Finanza (DEF), Libera Università Internazionale degli Studi Sociali Guido Carli (LUISS),,
213,Département des Sciences Économiques, École des Sciences de la Gestion (ESG), Université du Québec à Montréal (UQAM),
214,École d'Économie, Université Clermont Auvergne,,
215,Department of Economics, Faculty of Economic and Management Sciences, University of Pretoria,
216,Department of Economics, Faculty of Economics and Management, University of Cyprus,
217,Department of Economics, Graduate Center, City University of New York (CUNY),
218,School of Economics and Public Policy, University of Adelaide,,
219,Wirtschaftswissenschaftlichen Fakultät, Eberhard-Karls-Universität Tübingen,,
220,International Economics Department, School of Advanced International Studies, Johns Hopkins University,
221,Department of Business Economics and Public Policy, Ross School of Business, University of Michigan,
222,School of Economics and Management, Tsinghua University,,
223,Managerial Economics and Decision Sciences (MEDS), Kellogg Graduate School of Management, Northwestern University,
224,Department of Economics, Finance and Legal Studies, Culverhouse College of Business, University of Alabama-Tuscaloosa
225,Department of Economics and Finance, Brunel University London,,
226,Dipartimento di Scienze Economico-Sociali e Matematico-Statistiche, Università degli Studi di Torino,,
227,Institutt for Samfunnsøkonomi, BI Handelshøyskolen,,
228,Département d'Économie et de Management, Faculté de droit, d'économie et de finance, Université du Luxembourg
229,Facoltà di Economia / Wirtschaftswissenschaftliche Fakutät, Libera Università di Bolzano / Freie Universität Bozen,,
230,Fakultät für Volkswirtschaft und Statistik, Leopold-Franzens-Universität Innsbruck,,
231,Department of Economics, Business School, University of Auckland,
232,Unitat de Fonaments de l'Anàlisi Econòmica, Departament d'Economia i Història Econòmica, Universitat Autònoma de Barcelona, Barcelona School of Economics (BSE)
233,Department of Economics, Bar Ilan University,,
234,İktisat Bölümü, Bilkent Üniversitesi,,
235,School of Economics, LeBow College of Business, Drexel University,
236,Department of Economics, Business School, University of Exeter,
237,Department of Economics, University of Victoria,,
238,Department of Economics, State University of New York-Binghamton (SUNY),,
239,Departamento Académico de Economía, Universidad del Pacífico,,
240,Wirtschaftswissenschaftliche Fakultät, Leibniz Universität Hannover,,
241,Economics Department, University of Wisconsin,,
242,Department of Economics, Business School, University of Western Australia,
243,Department of Economics, Brigham Young University,,
244,Department of Economics, University of Hawaii-Manoa,,
245,Wirtschaftswissenschaftliche Fakultät, Georg-August-Universität Göttingen,,
246,Business Economics, Rotman School of Management, University of Toronto,
247,Department of Economics, Mathematics and Statistics, Birkbeck College,
248,Department of Economics, University of Texas-Dallas,,
249,Division of Economics, Nanyang Technological University,,
250,Wirtschafts- und Sozialwissenschaftliche Fakultät, Friedrich-Alexander-Universität Erlangen-Nürnberg,,
251,School of Economics, University of East Anglia,,
252,New Economic School (NES),,,
253,Fachbereich Volkswirtschaftslehre, Universität Hamburg,,
254,Økonomisk Institut, Copenhagen Business School,,
255,Department of Economics, American University,,
256,School of Economics, Faculty of Commerce, University of Cape Town,
257,Economics Department, Stony Brook University - SUNY,,
258,Departamento de Economía, Universidad de San Andrés,,
259,Department of Economics, Appalachian State University,,
260,Wirtschaftswissenschaftliche Fakultät, Friedrich-Schiller-Universität Jena,,
261,Department of Economics, Hankamer School of Business, Baylor University,
262,Departament d'Economia, Universitat Jaume I,,
263,Economics Department, Ben Gurion University of the Negev,,
264,Taloustieteen Laitos, Kauppakorkeakoulu, Aalto-yliopisto,
265,Faculdade de Economia, Administração e Contabilidade, Universidade de São Paulo,
266,Département d'Économique, Université Laval,,
267,Department of Economics, University of Kansas,,
268,Economics Section, Cardiff Business School, Cardiff University,
269,Institut for Økonomi, Syddansk Universitet,,
270,Department of Economics, University at Albany, State University of New York (SUNY),
271,Institutt for Samfunnsøkonomi, Norges teknisk-naturvitenskaplige universitet (NTNU),,
272,Faculté de sciences économiques, Université de Montpellier,,
273,Facoltà di Economia, Università degli Studi di Verona,,
274,İktisadi ve İdari Bilimler Fakültesi, Koç Üniversitesi,,
275,Dipartimento di Scienze Economiche, Università degli Studi di Bergamo,,
276,"Dipartimento di Economia ""Marco Biagi""", Università degli Studi di Modena e Reggio Emilia,,
277,Robert Day School of Economics and Finance, Claremont McKenna College,,
278,Facultade de Ciencias Económicas e Empresariais, Universidade de Santiago de Compostela,,
279,Scuola de Economia e Studi Aziendali, Università degli Studi Roma Tre,,
280,Department of Economics, Business School, Hong Kong University of Science and Technology (HKUST),
281,School of Economics, Finance and Marketing, RMIT University,
282,Department of Economics, Poole College of Management, North Carolina State University,
283,Rechts- und Wirtschaftswissenschaftliche Fakultät, Universität Bayreuth,,
284,Facultad de Ciencias Económicas y Empresariales, Universidad Autónoma de Madrid,,
285,Faculty of Political Science and Economics, Waseda University,,
286,Department of Economics, National Taiwan University,,
287,School of Economics, Interdisciplinary Center (IDC),,
288,Faculdade de Economia, Universidade do Porto,,
289,Department of Economics, New School for Social Research, The New School,
290,School of Business and Economics, Loughborough University,,
291,Department of Economics, University of California-Merced,,
292,Economics Division, University of Southampton,,
293,Department of Business Economics and Public Policy, Kelley School of Business, Indiana University,
294,Department of Economics and Finance, Business School, University of Canterbury,
295,Economics Department, University of Florida,,
296,Department of Economics, Middlebury College,,
297,College of Economics, Sogang University,,
298,Department of Economics, Haslam College of Business, University of Tennessee-Knoxville,
299,Department of Economics, College of William and Mary,,
300,Department of Economics, University of Waterloo,,
301,Escola de Economia e Gestão, Universidade do Minho,,
302,Department of Economics and Finance, Jon M. Huntsman School of Business, Utah State University,
303,Vakgroep Algemene Economie, School of Business and Economics, Maastricht University,
304,Faculté des Sciences Économiques, Sociales et de Gestion (FSESG), Université de Namur,
305,College of Business and Economics, Yonsei University,,
306,Institutt for Økonomi, Universitetet i Bergen,,
307,School of Business and Economics, Wilfrid Laurier University,,
308,Facoltá di scienze economiche, Universitá della Svizzera Italiana (USI),,
309,Staatswissenschaftliches Seminar, Wirtschafts- und Sozialwissenschaftliche Fakultät, Universität zu Köln,
310,Department of Economics, University of Massachusetts-Amherst,,
311,Economics Department, University of Richmond,,
312,Wirtschafts- und Sozialwissenschafltiche Fakultät, Universität Potsdam,,
313,Department of Economics, College of Business and Economics, West Virginia University,
314,School of Economics, Georgia Institute of Technology,,
315,Economics Department, Darla Moore School of Business, University of South Carolina,
316,Centre for Health Economics, Monash Business School, Monash University,
317,Departamento de Economía, Pontificia Universidad Católica del Perú,,
318,Département Comptabilité, Droit, Finance et Économie, Groupe EDHEC (École de Hautes Études Commerciales du Nord)
319,Institut für Volkswirtschaftslehre, Carl von Ossietzky Universität Oldenburg,,
320,Facultad de Ciencias Económicas y Empresariales, Universidad de Navarra,,
321,Abteilung Volkswirtschaftslehre, Fachbereich Wirtschaftswissenschaft, Freie Universität Berlin,
322,Fakultät Wirtschafts- und Sozialwissenschaften, Universität Hohenheim,,
323,Department of Economics, Athens University of Economics and Business (AUEB),,
324,Department of Economics, University of Macedonia,,
325,"Facoltà di Economia ""Richard M. Goodwin""", Università degli Studi di Siena,,
326,Department of Economics, Rensselaer Polytechnic Institute,,
327,Institut d'Économie Appliquée, HEC Montréal (École des Hautes Études Commerciales),,
328,Faculdade de Economia, Universidade do Coimbra,,
